ID,price
1,25561.59078
2,24221.42273
3,27240.84373
4,33684.96888
5,20000
6,30000
7,35764.3349
8,25899.46557
9,32882.53714
10,32617.05928
11,30000
12,33034.92261
13,30000
14,26608.32842
15,36927.0666
16,12561.10337
17,24260.62236
18,14228.30388
19,15802.23935
20,27471.29241
21,40000
22,35897.43951
23,16905.84258
24,15047.98937
25,14045.89513
26,25797.48544
27,40000
28,24928.42041
29,45072.56865
30,16992.08152
31,13206.433
32,27078.79795
33,26417.43542
34,30000
35,44534.97074
36,40000
37,30000
38,33970.66561
39,40000
40,33793.72284
41,30000
42,15358.86347
43,23414.4171
44,44211.91218
45,20000
46,33328.42698
47,20000
48,20000
49,40000
50,27435.39589
51,20000
52,36587.11859
53,23790.82939
54,30000
55,40000
56,30000
57,40000
58,40000
59,20000
60,26196.50504
61,33019.20813
62,36453.30104
63,40000
64,26062.79358
65,34663.83946
66,20000
67,20000
68,16223.26834
69,5975.709529
70,40000
71,33048.80117
72,25558.0312
73,1598.07337
74,20000
75,30000
76,26693.71811
77,30000
78,40000
79,16035.29706
80,44239.24934
81,20000
82,36556.74415
83,30000
84,20000
85,35088.02866
86,20000
87,30000
88,24364.52222
89,50306.15305
90,30000
91,30000
92,35052.19209
93,36489.40106
94,53745.93806
95,40000
96,26260.63473
97,40000
98,23283.52468
99,30000
100,30000
101,33726.80756
102,25211.02753
103,35994.52571
104,24794.07439
105,20000
106,34078.91407
107,34538.97449
108,17410.01544
109,40000
110,43478.05811
111,20000
112,47897.3504
113,40000
114,30000
115,20000
116,26355.63972
117,27104.01182
118,30000
119,30000
120,36717.9042
121,30000
122,40000
123,30000
124,30000
125,9006.648949
126,20000
127,36836.73869
128,30000
129,34166.88994
130,30000
131,40000
132,50430.44287
133,30000
134,20000
135,35815.10738
136,30000
137,27027.84106
138,20000
139,30000
140,43956.27279
141,30000
142,27392.70399
143,40000
144,10064.41815
145,20000
146,22599.02117
147,30000
148,36359.77243
149,24285.00304
150,30000
151,26414.50827
152,8068.231747
153,20000
154,35725.20247
155,12388.96045
156,30000
157,40000
158,8844.146509
159,7250.279362
160,40000
161,43913.81789
162,16545.00951
163,25349.77729
164,30000
165,34085.80564
166,30000
167,34458.38738
168,30000
169,16968.55626
170,22601.17848
171,30000
172,5579.395792
173,34295.65704
174,24359.88558
175,40000
176,23555.60639
177,25780.19772
178,16577.46275
179,30000
180,40000
181,17080.97861
182,25436.92235
183,37495.99581
184,23325.54657
185,30000
186,33128.29366
187,30000
188,25546.68687
189,20000
190,20000
191,47075.03525
192,40000
193,44633.99433
194,50179.77946
195,13136.84754
196,40000
197,30000
198,20000
199,40000
200,30000
201,26411.47262
202,26090.2785
203,30000
204,23640.67856
205,34072.29922
206,22682.07397
207,40000
208,40000
209,22781.28062
210,26121.73551
211,14501.04894
212,24937.67586
213,16557.22502
214,30000
215,20000
216,20000
217,16288.27844
218,25530.81022
219,20000
220,30000
221,30000
222,30000
223,30000
224,40000
225,20000
226,20000
227,30000
228,26631.00577
229,36453.91629
230,16330.96319
231,40000
232,20000
233,40000
234,44398.38956
235,22768.36337
236,24051.71225
237,30000
238,40000
239,36578.74535
240,32735.65751
241,20000
242,42883.25641
243,23927.44248
244,23761.78388
245,30000
246,30000
247,32914.19287
248,40000
249,30000
250,30000
251,40000
252,34088.83024
253,30000
254,20000
255,30000
256,40000
257,30000
258,30000
259,40000
260,33560.68798
261,33043.99134
262,25625.9722
263,50024.68887
264,20000
265,35375.46418
266,26331.12328
267,49295.84839
268,30000
269,35110.41972
270,24166.91123
271,14511.79472
272,36338.23478
273,30000
274,47709.82064
275,43261.82962
276,44815.87905
277,47597.90265
278,23051.89547
279,30000
280,20000
281,20000
282,37443.85589
283,20000
284,12840.57863
285,26927.11569
286,30000
287,52480.06755
288,13073.58541
289,8766.444652
290,24606.12234
291,25696.08888
292,26157.23515
293,14944.48848
294,40000
295,20000
296,44271.59324
297,40000
298,20000
299,44274.40748
300,24639.37404
301,33062.12043
302,30000
303,22906.70081
304,30000
305,30000
306,33322.52047
307,30000
308,45923.53551
309,49548.62273
310,48911.31371
311,20000
312,8400.696736
313,34035.28481
314,34799.28206
315,17032.34506
316,30000
317,30000
318,40000
319,40000
320,27206.13784
321,47697.07716
322,30000
323,30000
324,52035.83362
325,26407.84375
326,51239.14421
327,40000
328,44494.54404
329,20000
330,20000
331,32650.65157
332,35335.98307
333,30000
334,25944.32515
335,44730.24616
336,30000
337,24749.73654
338,40000
339,43221.37222
340,20000
341,11460.90571
342,40000
343,33838.41277
344,30000
345,24040.39328
346,26717.10084
347,13900.61538
348,17268.17018
349,50475.68786
350,49150.57563
351,30000
352,20000
353,20000
354,30000
355,30000
356,20000
357,30000
358,30000
359,40000
360,20000
361,40000
362,30000
363,32646.39951
364,25571.46894
365,30000
366,30000
367,23723.77532
368,27234.66428
369,42666.91377
370,40000
371,27074.39484
372,20000
373,33111.13808
374,51186.91521
375,37179.28797
376,33472.79144
377,44607.86606
378,34686.42339
379,48111.1021
380,30000
381,34612.00874
382,30000
383,30000
384,30000
385,30000
386,30000
387,25289.83381
388,9944.306349
389,34986.21836
390,22973.01943
391,20000
392,17421.6269
393,12550
394,13432.5
395,37000
396,47800
397,46000
398,9000
